predicted_energy_original,predicted_energy_improved,true_energy
0.6150598893541992,0.5764035435879942,0.31396973
0.6401454345338755,0.5828594057702348,0.47610068
0.7020240987243563,0.9949439554881184,1.2455736
0.7705420630034854,0.8071069513403949,0.3590331
0.5445432741726599,0.4884035352287209,0.14174557
0.43314311462242683,0.6637539249342449,0.6351831
0.5919883361869238,0.569592599454743,0.24986191
0.5931133757900724,0.5573553013049044,0.24986191
0.7205938165339861,0.5918322818241882,0.78708506
0.6582540378862954,0.6829689329662597,0.78708506
0.7129329922719382,0.5849704260957972,0.53406733
0.653305872015693,0.7334019373088337,-0.5809012
0.7592035900840515,0.7592374982800203,0.8455006
0.5778426751510579,0.6513325483541483,0.8455006
0.700878831673212,0.6724682580910798,0.8455006
0.6614386470540091,0.7135175078876854,1.2037706
0.8051050404968768,0.8133183223627841,1.114993
0.7676263094209458,0.607059532817445,1.114993
0.5910530767038547,0.930883272760743,0.42234996
0.8671212585112216,0.8088658023306299,0.42234996
0.8801850281945897,0.7654434247629943,-0.16413389
0.48445814611986926,0.5416925484360922,0.15273122
0.6115550963963546,0.61643695557171,0.9050849
0.646749047094238,0.6858355600347087,0.9050849
0.8017145355709654,0.6268778541850428,0.9050849
0.8792931555921973,1.077643786947217,1.8617817
1.0427997769576158,1.0516121951293045,1.8617817
1.0953943486942945,0.9227709788311671,1.8617817
1.057012447602567,1.0731371730383408,1.8617817
0.9974979389391114,1.038230748123026,1.8617817
1.0043139131167906,0.8325114261576768,1.8617817
0.9538902545305151,1.0035769081645904,1.8617817
0.9289769111130111,0.9808249571532195,1.8617817
0.8993609553109656,1.068001887611228,1.8617817
1.02658417146384,1.060977279972692,1.8617817
0.5983571018247044,0.5484189581006943,0.33477795
0.43880153079296247,0.6058479354852043,0.77511406
0.5215067686460235,0.4559732531943557,0.33477795
0.4258076660411586,0.5046408261297648,0.055209965
0.49047300805939,0.41758188519163153,0.017612882
0.5063901152914255,0.6622529568650991,0.17795303
0.5169864194155216,0.5893274317354282,0.07677906
0.5179080043487899,0.547902278076792,0.061755076
0.5041299876326616,0.3950059233485353,0.054091714
0.5793989775675212,0.6194523053625125,0.5157465
0.5630071863558122,0.5826619007170786,0.35206047
0.517515004058147,0.5064470363365263,0.3208664
0.602674460266793,0.5360327997483213,0.3208664
0.5219577258790784,0.6252014750627229,0.3208664
0.526098287133789,0.39293929729486055,0.3208664
0.5037630952587251,0.48371444245345574,0.16524222
0.5586998095628563,0.4782589431032226,0.04436256
0.5466438388583625,0.5609303565630953,-0.07955445
0.4899931824630355,0.5652597276495344,-0.14400329
0.6965859574446784,0.5752807172829095,0.69688857
0.7376221725121682,0.6357098243775119,0.69688857
0.5724538457362301,0.6227142964549569,0.26401907
0.6199526966976943,0.6252591862684533,0.69688857
0.652629377393285,0.5584655199252265,0.25180405
0.5118404037768604,0.5221937556901148,0.25180405
0.47950446534762764,0.5398302439672845,0.52294034
0.44963205369565223,0.33213175362371733,-0.17485403
